gMLP	SVR	SPLS	XGBoost	BayesA
Zm00001d031724	Zm00001d032000	Zm00001d032683	Zm00001d031134	Zm00001d031489
Zm00001d031749	Zm00001d032057	Zm00001d032688	Zm00001d031136	Zm00001d031494
Zm00001d031790	Zm00001d032058	Zm00001d032689	Zm00001d031163	Zm00001d031580
Zm00001d031802	Zm00001d032078	Zm00001d032692	Zm00001d031210	Zm00001d031581
Zm00001d031807	Zm00001d032079	Zm00001d032739	Zm00001d031236	Zm00001d031651
Zm00001d031809	Zm00001d032096	Zm00001d032745	Zm00001d031257	Zm00001d031678
Zm00001d031855	Zm00001d032165	Zm00001d032781	Zm00001d031280	Zm00001d031694
Zm00001d031899	Zm00001d032170	Zm00001d032858	Zm00001d031315	Zm00001d031700
Zm00001d031909	Zm00001d032245	Zm00001d032922	Zm00001d031323	Zm00001d031720
Zm00001d031926	Zm00001d032257	Zm00001d032934	Zm00001d031327	Zm00001d031723
Zm00001d031940	Zm00001d032274	Zm00001d032973	Zm00001d031346	Zm00001d031749
Zm00001d031975	Zm00001d032280	Zm00001d032974	Zm00001d031412	Zm00001d031783
Zm00001d031981	Zm00001d032283	Zm00001d033005	Zm00001d031413	Zm00001d031802
Zm00001d032000	Zm00001d032327	Zm00001d033011	Zm00001d031418	Zm00001d031805
Zm00001d032073	Zm00001d032350	Zm00001d033068	Zm00001d031422	Zm00001d031809
Zm00001d032078	Zm00001d032356	Zm00001d033099	Zm00001d031429	Zm00001d031832
Zm00001d032079	Zm00001d032367	Zm00001d033104	Zm00001d031454	Zm00001d031873
Zm00001d032083	Zm00001d032381	Zm00001d033138	Zm00001d031473	Zm00001d031975
Zm00001d032104	Zm00001d032385	Zm00001d033149	Zm00001d031527	Zm00001d031977
Zm00001d032109	Zm00001d032427	Zm00001d033159	Zm00001d031530	Zm00001d032056
Zm00001d032146	Zm00001d032460	Zm00001d033175	Zm00001d031543	Zm00001d032058
Zm00001d032186	Zm00001d032469	Zm00001d033206	Zm00001d031555	Zm00001d032060
Zm00001d032232	Zm00001d032505	Zm00001d033267	Zm00001d031570	Zm00001d032073
Zm00001d032238	Zm00001d032520	Zm00001d033345	Zm00001d031580	Zm00001d032096
Zm00001d032286	Zm00001d032531	Zm00001d033347	Zm00001d031600	Zm00001d032114
Zm00001d032292	Zm00001d032543	Zm00001d033370	Zm00001d031651	Zm00001d032143
Zm00001d032317	Zm00001d032570	Zm00001d033371	Zm00001d031657	Zm00001d032156
Zm00001d032320	Zm00001d032573	Zm00001d033375	Zm00001d031665	Zm00001d032182
Zm00001d032361	Zm00001d032587	Zm00001d033414	Zm00001d031666	Zm00001d032223
Zm00001d032376	Zm00001d032617	Zm00001d033465	Zm00001d031676	Zm00001d032256
Zm00001d032377	Zm00001d032664	Zm00001d033494	Zm00001d031684	Zm00001d032266
Zm00001d032385	Zm00001d032670	Zm00001d033497	Zm00001d031700	Zm00001d032286
Zm00001d032402	Zm00001d032683	Zm00001d033502	Zm00001d031783	Zm00001d032300
Zm00001d032442	Zm00001d032685	Zm00001d033504	Zm00001d031790	Zm00001d032311
Zm00001d032472	Zm00001d032724	Zm00001d033543	Zm00001d031802	Zm00001d032361
Zm00001d032476	Zm00001d032725	Zm00001d033544	Zm00001d031832	Zm00001d032367
Zm00001d032505	Zm00001d032728	Zm00001d033551	Zm00001d031837	Zm00001d032370
Zm00001d032536	Zm00001d032745	Zm00001d033552	Zm00001d031851	Zm00001d032376
Zm00001d032587	Zm00001d032768	Zm00001d033556	Zm00001d031863	Zm00001d032377
Zm00001d032617	Zm00001d032781	Zm00001d033563	Zm00001d031899	Zm00001d032385
Zm00001d032633	Zm00001d032805	Zm00001d033572	Zm00001d031943	Zm00001d032402
Zm00001d032636	Zm00001d032854	Zm00001d033595	Zm00001d031956	Zm00001d032442
Zm00001d032679	Zm00001d032889	Zm00001d033650	Zm00001d031957	Zm00001d032505
Zm00001d032728	Zm00001d032931	Zm00001d033670	Zm00001d032022	Zm00001d032526
Zm00001d032734	Zm00001d032934	Zm00001d033682	Zm00001d032029	Zm00001d032573
Zm00001d032781	Zm00001d032944	Zm00001d033709	Zm00001d032040	Zm00001d032617
Zm00001d032832	Zm00001d032950	Zm00001d033749	Zm00001d032073	Zm00001d032668
Zm00001d032854	Zm00001d032973	Zm00001d033750	Zm00001d032099	Zm00001d032670
Zm00001d032884	Zm00001d033029	Zm00001d033786	Zm00001d032109	Zm00001d032683
Zm00001d032931	Zm00001d033054	Zm00001d033787	Zm00001d032114	Zm00001d032689
Zm00001d033002	Zm00001d033067	Zm00001d033788	Zm00001d032130	Zm00001d032724
Zm00001d033066	Zm00001d033074	Zm00001d033794	Zm00001d032143	Zm00001d032781
Zm00001d033067	Zm00001d033094	Zm00001d033798	Zm00001d032153	Zm00001d032791
Zm00001d033068	Zm00001d033098	Zm00001d033800	Zm00001d032184	Zm00001d032922
Zm00001d033094	Zm00001d033099	Zm00001d033836	Zm00001d032190	Zm00001d032944
Zm00001d033099	Zm00001d033104	Zm00001d033837	Zm00001d032232	Zm00001d032973
Zm00001d033104	Zm00001d033148	Zm00001d033847	Zm00001d032261	Zm00001d033068
Zm00001d033109	Zm00001d033149	Zm00001d033849	Zm00001d032266	Zm00001d033112
Zm00001d033128	Zm00001d033167	Zm00001d033850	Zm00001d032272	Zm00001d033125
Zm00001d033155	Zm00001d033181	Zm00001d033876	Zm00001d032274	Zm00001d033149
Zm00001d033158	Zm00001d033206	Zm00001d033886	Zm00001d032300	Zm00001d033175
Zm00001d033166	Zm00001d033211	Zm00001d033891	Zm00001d032317	Zm00001d033267
Zm00001d033167	Zm00001d033231	Zm00001d033895	Zm00001d032350	Zm00001d033275
